INFO 2023-12-31 15:24:10,322 autoreload Watching for file changes with StatReloader
DEBUG 2023-12-31 15:24:10,322 autoreload Waiting for apps ready_event.
DEBUG 2023-12-31 15:24:12,127 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-12-31 15:24:12,156 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django_filters/templates with glob **/*.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,157 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,158 autoreload Watching dir /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/api/locale with glob **/*.mo.
DEBUG 2023-12-31 15:24:12,221 utils (0.001) 
